# DM  fluence  width  spec_ind  disp_ind
1346.21 7.000 0.00281 -2.65 2.0000
1191.32 7.000 0.00030 -3.06 2.0000
211.01 7.000 0.00526 2.66 2.0000
1100.25 7.000 0.00020 -0.81 2.0000
913.07 7.000 0.00043 3.70 2.0000
716.88 7.000 0.00007 -2.83 2.0000
46.97 7.000 0.00283 -3.67 2.0000
1763.31 7.000 0.00276 1.37 2.0000
1782.74 7.000 0.00123 1.83 2.0000
1663.30 7.000 0.00192 2.25 2.0000
1127.99 7.000 0.00025 -1.07 2.0000
1694.70 7.000 0.00019 -1.80 2.0000
949.51 7.000 0.00074 -2.56 2.0000
754.45 7.000 0.00485 -0.32 2.0000
226.47 7.000 0.00742 3.35 2.0000
951.74 7.000 0.00250 -2.32 2.0000
1371.71 7.000 0.00046 0.42 2.0000
1430.85 7.000 0.00108 2.87 2.0000
133.45 7.000 0.00043 2.21 2.0000
225.74 7.000 0.00209 -3.00 2.0000
165.88 7.000 0.00012 3.92 2.0000
315.66 7.000 0.00280 -1.40 2.0000
787.93 7.000 0.00015 3.85 2.0000
1317.28 7.000 0.00016 -2.78 2.0000
1764.12 7.000 0.00122 2.45 2.0000
1880.62 7.000 0.00015 -3.93 2.0000
781.35 7.000 0.00170 2.94 2.0000
1595.61 7.000 0.00131 -2.74 2.0000
364.85 7.000 0.00041 -2.22 2.0000
1819.79 7.000 0.00717 2.35 2.0000
986.18 7.000 0.00253 1.69 2.0000
587.98 7.000 0.00476 -2.59 2.0000
357.59 7.000 0.00084 -0.79 2.0000
182.35 7.000 0.00879 2.08 2.0000
1785.80 7.000 0.00051 -3.82 2.0000
1931.94 7.000 0.00086 -3.04 2.0000
135.42 7.000 0.00482 0.67 2.0000
1862.17 7.000 0.00123 -0.85 2.0000
409.22 7.000 0.00064 -0.75 2.0000
1653.09 7.000 0.00095 -0.47 2.0000
1774.25 7.000 0.00075 -1.34 2.0000
1729.50 7.000 0.00026 3.01 2.0000
1957.73 7.000 0.00051 -3.62 2.0000
109.65 7.000 0.00088 -0.31 2.0000
833.08 7.000 0.00054 -3.73 2.0000
462.91 7.000 0.00294 -2.79 2.0000
1300.38 7.000 0.00157 -0.66 2.0000
284.08 7.000 0.00160 -3.20 2.0000
244.46 7.000 0.00149 -0.16 2.0000
1416.23 7.000 0.00698 3.19 2.0000
446.53 7.000 0.00490 -3.34 2.0000
351.31 7.000 0.00618 0.58 2.0000
1847.17 7.000 0.00098 -1.03 2.0000
1181.94 7.000 0.00334 -3.10 2.0000
1635.30 7.000 0.00086 1.29 2.0000
1285.91 7.000 0.00050 -1.72 2.0000
1978.70 7.000 0.00270 -2.87 2.0000
462.23 7.000 0.00120 2.17 2.0000
1419.07 7.000 0.00039 -0.52 2.0000
842.27 7.000 0.00062 3.29 2.0000
1767.68 7.000 0.00283 -2.20 2.0000
586.29 7.000 0.00101 -1.25 2.0000
1797.13 7.000 0.00114 -2.71 2.0000
1879.31 7.000 0.00108 1.16 2.0000
1795.96 7.000 0.00122 -2.80 2.0000
675.12 7.000 0.00176 2.11 2.0000
1581.86 7.000 0.00062 2.21 2.0000
1702.11 7.000 0.00121 -2.88 2.0000
1461.75 7.000 0.00737 1.77 2.0000
856.87 7.000 0.00031 3.57 2.0000
790.45 7.000 0.00277 0.76 2.0000
1506.67 7.000 0.00493 1.45 2.0000
1010.34 7.000 0.00172 -2.19 2.0000
1849.57 7.000 0.00129 -2.01 2.0000
1625.44 7.000 0.00004 1.09 2.0000
1335.57 7.000 0.00078 -0.68 2.0000
499.20 7.000 0.00294 0.01 2.0000
443.28 7.000 0.00159 1.19 2.0000
450.70 7.000 0.00098 0.79 2.0000
1586.58 7.000 0.00084 -1.92 2.0000
1825.32 7.000 0.00176 -1.78 2.0000
472.69 7.000 0.00047 -1.23 2.0000
1323.35 7.000 0.00545 1.24 2.0000
382.57 7.000 0.00201 3.19 2.0000
660.34 7.000 0.00121 0.71 2.0000
91.05 7.000 0.00252 0.11 2.0000
1201.17 7.000 0.00006 -1.75 2.0000
1732.50 7.000 0.00383 -2.63 2.0000
173.21 7.000 0.00029 -0.95 2.0000
1440.19 7.000 0.00127 1.38 2.0000
46.23 7.000 0.00061 1.72 2.0000
1835.61 7.000 0.00409 3.57 2.0000
1129.78 7.000 0.00095 -2.37 2.0000
386.50 7.000 0.00070 1.48 2.0000
1571.69 7.000 0.00222 1.85 2.0000
1025.43 7.000 0.00496 2.12 2.0000
108.12 7.000 0.00204 -1.15 2.0000
1424.11 7.000 0.00081 3.27 2.0000
1445.61 7.000 0.00162 1.74 2.0000
269.00 7.000 0.00075 0.48 2.0000
797.14 7.000 0.00070 0.54 2.0000
521.02 7.000 0.00696 1.35 2.0000
167.38 7.000 0.00049 1.29 2.0000
1229.41 7.000 0.00008 1.04 2.0000
787.00 7.000 0.00052 -0.73 2.0000
511.05 7.000 0.00070 3.49 2.0000
1431.94 7.000 0.00362 -2.06 2.0000
1079.34 7.000 0.00161 2.45 2.0000
1943.49 7.000 0.00050 -2.15 2.0000
1776.69 7.000 0.00269 -0.32 2.0000
1686.21 7.000 0.00098 2.88 2.0000
467.48 7.000 0.00026 -3.17 2.0000
706.51 7.000 0.00014 -2.72 2.0000
1026.84 7.000 0.00090 2.97 2.0000
1964.50 7.000 0.00038 -1.72 2.0000
1756.45 7.000 0.00036 3.55 2.0000
1724.42 7.000 0.00139 -2.36 2.0000
1726.84 7.000 0.00044 -3.65 2.0000
118.24 7.000 0.00279 -0.27 2.0000
243.63 7.000 0.00146 0.84 2.0000
1641.55 7.000 0.00076 -2.88 2.0000
1188.80 7.000 0.00198 3.39 2.0000
786.46 7.000 0.00087 -0.57 2.0000
483.34 7.000 0.00118 1.80 2.0000
511.70 7.000 0.00405 -0.26 2.0000
1679.90 7.000 0.00048 -3.24 2.0000
586.86 7.000 0.00216 3.51 2.0000
1438.61 7.000 0.00061 2.67 2.0000
638.60 7.000 0.00110 -0.02 2.0000
426.90 7.000 0.00024 2.71 2.0000
408.77 7.000 0.00081 2.94 2.0000
57.92 7.000 0.00070 1.28 2.0000
776.32 7.000 0.00054 -1.16 2.0000
1913.02 7.000 0.00108 2.08 2.0000
733.17 7.000 0.00200 3.35 2.0000
1125.37 7.000 0.00072 -3.79 2.0000
762.73 7.000 0.00169 -0.82 2.0000
924.57 7.000 0.00196 -0.11 2.0000
1252.88 7.000 0.00375 -3.00 2.0000
48.59 7.000 0.00063 2.20 2.0000
740.56 7.000 0.00148 1.06 2.0000
631.43 7.000 0.00058 2.67 2.0000
1682.15 7.000 0.00067 2.14 2.0000
158.99 7.000 0.00020 -1.01 2.0000
1817.04 7.000 0.00312 3.36 2.0000
1142.87 7.000 0.00428 2.82 2.0000
258.57 7.000 0.01046 0.12 2.0000
1561.09 7.000 0.00580 -1.46 2.0000
118.43 7.000 0.00066 3.41 2.0000
1120.09 7.000 0.00268 1.33 2.0000
1260.98 7.000 0.00085 -3.60 2.0000
217.63 7.000 0.00104 2.81 2.0000
1924.80 7.000 0.00067 -2.54 2.0000
1855.07 7.000 0.00074 0.05 2.0000
1582.05 7.000 0.00104 3.28 2.0000
1924.57 7.000 0.00659 0.85 2.0000
241.44 7.000 0.00099 -1.68 2.0000
1855.45 7.000 0.00194 0.89 2.0000
1555.74 7.000 0.00155 -1.53 2.0000
644.54 7.000 0.00158 1.59 2.0000
20.93 7.000 0.00278 1.44 2.0000
574.82 7.000 0.00067 0.15 2.0000
183.66 7.000 0.00626 -1.17 2.0000
175.58 7.000 0.00021 1.40 2.0000
662.32 7.000 0.00114 1.13 2.0000
396.58 7.000 0.00195 2.43 2.0000
178.66 7.000 0.00237 -1.49 2.0000
299.45 7.000 0.00063 -2.26 2.0000
907.57 7.000 0.00064 -0.50 2.0000
219.85 7.000 0.00071 3.79 2.0000
67.10 7.000 0.00070 0.37 2.0000
283.79 7.000 0.00378 1.99 2.0000
893.71 7.000 0.00449 0.84 2.0000
1522.38 7.000 0.00058 -0.46 2.0000
1407.39 7.000 0.00199 -1.11 2.0000
120.61 7.000 0.00145 2.88 2.0000
744.07 7.000 0.00022 3.75 2.0000
285.38 7.000 0.00906 -1.45 2.0000
631.02 7.000 0.00438 3.84 2.0000
1633.27 7.000 0.00057 0.16 2.0000
662.32 7.000 0.00044 1.98 2.0000
116.49 7.000 0.00068 -0.81 2.0000
1067.25 7.000 0.00018 1.78 2.0000
1312.82 7.000 0.00129 0.80 2.0000
1933.95 7.000 0.00012 -3.62 2.0000
415.83 7.000 0.00106 -3.30 2.0000
1633.20 7.000 0.00104 -3.40 2.0000
49.38 7.000 0.00273 -2.36 2.0000
1467.60 7.000 0.00234 -0.96 2.0000
1600.59 7.000 0.00152 -3.98 2.0000
1759.95 7.000 0.00073 -0.64 2.0000
974.83 7.000 0.00153 3.12 2.0000
1267.10 7.000 0.00345 1.23 2.0000
1249.52 7.000 0.00084 -2.58 2.0000
79.04 7.000 0.00047 -0.35 2.0000
1761.92 7.000 0.00018 -0.26 2.0000
1039.62 7.000 0.00037 3.47 2.0000
1721.26 7.000 0.00030 -1.37 2.0000
595.94 7.000 0.00126 -2.71 2.0000
168.44 7.000 0.00151 -1.94 2.0000
361.96 7.000 0.00034 -1.13 2.0000
1426.52 7.000 0.00046 -1.79 2.0000
841.33 7.000 0.00220 -1.68 2.0000
546.32 7.000 0.00179 3.59 2.0000
1506.11 7.000 0.00469 2.26 2.0000
1745.25 7.000 0.00040 -2.63 2.0000
1533.39 7.000 0.00074 -2.74 2.0000
80.92 7.000 0.00028 -0.03 2.0000
1144.78 7.000 0.00149 2.83 2.0000
1073.82 7.000 0.00096 -0.72 2.0000
1316.57 7.000 0.00081 -1.20 2.0000
36.41 7.000 0.00035 -0.15 2.0000
172.25 7.000 0.00077 -1.06 2.0000
1412.74 7.000 0.00533 -2.98 2.0000
1143.95 7.000 0.00242 -3.43 2.0000
939.70 7.000 0.00073 1.46 2.0000
1190.64 7.000 0.00042 1.75 2.0000
135.60 7.000 0.00354 0.81 2.0000
1142.70 7.000 0.00168 3.69 2.0000
30.52 7.000 0.00070 -3.48 2.0000
498.65 7.000 0.00261 -3.22 2.0000
199.93 7.000 0.00267 -2.72 2.0000
1888.70 7.000 0.00323 2.72 2.0000
1597.02 7.000 0.00134 0.35 2.0000
1713.00 7.000 0.00128 -3.99 2.0000
1563.59 7.000 0.00205 2.72 2.0000
745.48 7.000 0.00090 -1.62 2.0000
1991.46 7.000 0.00060 -3.40 2.0000
966.73 7.000 0.00112 -0.80 2.0000
940.59 7.000 0.00072 -2.64 2.0000
476.88 7.000 0.00105 -1.39 2.0000
493.44 7.000 0.00121 -1.34 2.0000
1347.55 7.000 0.00093 -0.79 2.0000
142.91 7.000 0.00078 1.67 2.0000
561.29 7.000 0.00068 3.08 2.0000
218.81 7.000 0.00117 0.60 2.0000
681.64 7.000 0.00110 -2.51 2.0000
1076.74 7.000 0.00035 2.60 2.0000
1386.15 7.000 0.00012 0.02 2.0000
706.88 7.000 0.00520 3.39 2.0000
1339.02 7.000 0.00218 2.84 2.0000
1370.55 7.000 0.00069 -0.30 2.0000
1740.03 7.000 0.00044 1.16 2.0000
419.08 7.000 0.00137 -0.19 2.0000
1097.78 7.000 0.00105 2.24 2.0000
579.34 7.000 0.00074 -0.87 2.0000
1695.06 7.000 0.00036 1.53 2.0000
265.31 7.000 0.00055 -0.73 2.0000
125.94 7.000 0.00318 -2.27 2.0000
1720.95 7.000 0.00077 -0.00 2.0000
28.27 7.000 0.00085 2.72 2.0000
1902.49 7.000 0.00623 -0.87 2.0000
617.77 7.000 0.00009 3.86 2.0000
923.91 7.000 0.00077 1.84 2.0000
1935.65 7.000 0.00134 0.46 2.0000
663.50 7.000 0.00068 -0.33 2.0000
119.75 7.000 0.00031 0.02 2.0000
1980.29 7.000 0.00212 -3.52 2.0000
1734.45 7.000 0.00143 3.52 2.0000
1905.47 7.000 0.00113 -1.79 2.0000
333.60 7.000 0.00200 2.81 2.0000
1846.86 7.000 0.00085 -1.19 2.0000
199.99 7.000 0.00269 2.50 2.0000
1350.19 7.000 0.00224 3.42 2.0000
1205.63 7.000 0.00483 -0.13 2.0000
1090.61 7.000 0.00315 -2.24 2.0000
1449.04 7.000 0.00122 -1.68 2.0000
511.76 7.000 0.00035 -0.66 2.0000
1803.96 7.000 0.00232 3.89 2.0000
1346.10 7.000 0.00104 -2.54 2.0000
1576.95 7.000 0.00041 -2.31 2.0000
158.88 7.000 0.00108 1.72 2.0000
1597.26 7.000 0.00436 -3.02 2.0000
1763.76 7.000 0.00103 0.48 2.0000
571.94 7.000 0.00152 -0.91 2.0000
798.89 7.000 0.00071 -2.19 2.0000
1562.62 7.000 0.00333 -2.97 2.0000
1487.08 7.000 0.00495 0.25 2.0000
779.05 7.000 0.00089 1.91 2.0000
254.29 7.000 0.00180 1.16 2.0000
1491.53 7.000 0.00569 -0.04 2.0000
1578.19 7.000 0.00052 2.35 2.0000
1064.98 7.000 0.00116 -3.49 2.0000
870.32 7.000 0.00522 3.79 2.0000
620.48 7.000 0.00292 3.64 2.0000
337.85 7.000 0.00041 -3.90 2.0000
693.31 7.000 0.00046 -2.68 2.0000
1365.43 7.000 0.00098 2.46 2.0000
593.18 7.000 0.00321 -2.22 2.0000
198.51 7.000 0.00222 0.93 2.0000
1318.09 7.000 0.00186 -3.29 2.0000
564.20 7.000 0.00055 -3.10 2.0000
1967.64 7.000 0.00059 -2.87 2.0000
234.98 7.000 0.00070 -2.60 2.0000
317.60 7.000 0.00041 2.60 2.0000
480.11 7.000 0.00209 -2.89 2.0000
1260.67 7.000 0.00535 -2.82 2.0000
1045.35 7.000 0.00445 1.32 2.0000
915.88 7.000 0.00028 1.36 2.0000
1348.38 7.000 0.00116 -0.04 2.0000
252.66 7.000 0.00074 0.73 2.0000
692.28 7.000 0.00095 -3.55 2.0000
1799.98 7.000 0.00095 0.97 2.0000
1430.25 7.000 0.00025 -0.89 2.0000
483.04 7.000 0.00087 2.96 2.0000
430.97 7.000 0.00278 2.11 2.0000
1735.89 7.000 0.00049 1.23 2.0000
933.62 7.000 0.00191 -0.80 2.0000
1834.86 7.000 0.00035 1.76 2.0000
1207.64 7.000 0.00078 -3.56 2.0000
1210.03 7.000 0.00051 -0.26 2.0000
609.63 7.000 0.00356 -1.17 2.0000
386.65 7.000 0.00114 3.42 2.0000
1992.24 7.000 0.00180 1.53 2.0000
1750.43 7.000 0.00339 -2.08 2.0000
91.82 7.000 0.00086 -1.99 2.0000
83.56 7.000 0.00088 2.64 2.0000
524.81 7.000 0.00134 -0.30 2.0000
1459.49 7.000 0.00132 -3.64 2.0000
1217.05 7.000 0.00034 -3.74 2.0000
928.16 7.000 0.00167 -0.12 2.0000
754.05 7.000 0.00093 -3.00 2.0000
264.68 7.000 0.00250 0.43 2.0000
978.30 7.000 0.00114 0.10 2.0000
307.54 7.000 0.00026 2.47 2.0000
1088.08 7.000 0.00034 -0.12 2.0000
976.13 7.000 0.00056 -3.91 2.0000
1443.23 7.000 0.00102 1.40 2.0000
1769.02 7.000 0.00108 2.34 2.0000
285.86 7.000 0.00034 -1.79 2.0000
1413.79 7.000 0.00075 0.09 2.0000
1571.76 7.000 0.00026 -0.33 2.0000
477.25 7.000 0.00020 0.61 2.0000
833.18 7.000 0.00335 -2.16 2.0000
1796.47 7.000 0.00041 -2.19 2.0000
437.11 7.000 0.00051 -2.50 2.0000
169.82 7.000 0.00037 -1.18 2.0000
1909.86 7.000 0.00369 -0.27 2.0000
1941.96 7.000 0.00047 1.68 2.0000
1204.55 7.000 0.00018 -1.39 2.0000
428.82 7.000 0.00514 -0.75 2.0000
1675.64 7.000 0.00203 -2.29 2.0000
952.53 7.000 0.00103 -1.17 2.0000
1858.08 7.000 0.00046 -2.68 2.0000
1078.87 7.000 0.00169 -0.60 2.0000
827.62 7.000 0.00012 -3.06 2.0000
1062.33 7.000 0.00117 -1.24 2.0000
1387.80 7.000 0.00124 -3.73 2.0000
381.92 7.000 0.00063 0.22 2.0000
1170.12 7.000 0.00176 3.31 2.0000
116.04 7.000 0.00125 -0.55 2.0000
323.19 7.000 0.00101 -0.26 2.0000
129.73 7.000 0.00108 -3.89 2.0000
483.10 7.000 0.00034 -2.90 2.0000
1837.59 7.000 0.00153 -2.28 2.0000
1579.46 7.000 0.00315 1.78 2.0000
728.88 7.000 0.00053 0.63 2.0000
33.32 7.000 0.00059 -1.64 2.0000
746.91 7.000 0.00448 -2.07 2.0000
1620.59 7.000 0.00054 1.64 2.0000
869.75 7.000 0.00127 -1.83 2.0000
1898.03 7.000 0.00018 -2.92 2.0000
1712.90 7.000 0.00069 2.79 2.0000
1800.21 7.000 0.00218 -1.40 2.0000
1495.92 7.000 0.00183 0.23 2.0000
1614.38 7.000 0.00181 -0.25 2.0000
674.43 7.000 0.00076 3.54 2.0000
957.48 7.000 0.00086 2.20 2.0000
796.64 7.000 0.00127 -0.56 2.0000
1977.15 7.000 0.00095 -3.57 2.0000
289.92 7.000 0.00035 1.05 2.0000
1600.68 7.000 0.00614 -1.40 2.0000
470.11 7.000 0.00295 -0.73 2.0000
1888.14 7.000 0.00038 -1.86 2.0000
1091.27 7.000 0.00133 2.67 2.0000
1955.33 7.000 0.00023 -1.31 2.0000
1061.76 7.000 0.00319 -3.48 2.0000
1886.50 7.000 0.00046 -3.83 2.0000
1335.66 7.000 0.00030 -3.49 2.0000
1982.23 7.000 0.00326 0.78 2.0000
604.57 7.000 0.00094 2.51 2.0000
51.55 7.000 0.00080 -1.47 2.0000
1527.39 7.000 0.00213 3.80 2.0000
809.93 7.000 0.00256 0.31 2.0000
1871.10 7.000 0.00142 -0.08 2.0000
1715.90 7.000 0.00060 3.38 2.0000
1466.95 7.000 0.00467 1.23 2.0000
425.45 7.000 0.00251 2.50 2.0000
1927.19 7.000 0.00132 -2.26 2.0000
332.41 7.000 0.00123 -1.36 2.0000
1054.93 7.000 0.00040 1.21 2.0000
552.22 7.000 0.00017 -1.69 2.0000
389.03 7.000 0.00013 0.49 2.0000
410.92 7.000 0.00026 3.80 2.0000
922.17 7.000 0.00021 -2.04 2.0000
1744.85 7.000 0.00333 -1.03 2.0000
454.54 7.000 0.00072 2.82 2.0000
1389.69 7.000 0.00185 3.37 2.0000
730.71 7.000 0.00091 -3.86 2.0000
152.96 7.000 0.00269 -3.77 2.0000
1778.59 7.000 0.00113 1.91 2.0000
1384.85 7.000 0.00193 -3.87 2.0000
1748.55 7.000 0.00140 -1.11 2.0000
1099.14 7.000 0.00206 3.55 2.0000
401.90 7.000 0.00096 -3.38 2.0000
1807.38 7.000 0.00063 1.90 2.0000
717.82 7.000 0.00183 -0.95 2.0000
608.69 7.000 0.00087 3.98 2.0000
1302.17 7.000 0.00124 0.81 2.0000
1554.73 7.000 0.00118 -1.55 2.0000
1991.64 7.000 0.00029 3.82 2.0000
1484.89 7.000 0.00099 -1.21 2.0000
639.09 7.000 0.00148 0.40 2.0000
922.01 7.000 0.00103 2.64 2.0000
908.55 7.000 0.00035 3.53 2.0000
1756.33 7.000 0.00592 -1.40 2.0000
1426.24 7.000 0.00131 -1.35 2.0000
1601.26 7.000 0.00022 2.80 2.0000
1089.54 7.000 0.00070 0.20 2.0000
1628.43 7.000 0.00191 2.71 2.0000
594.61 7.000 0.00145 1.93 2.0000
212.56 7.000 0.00099 0.38 2.0000
1647.06 7.000 0.00042 -1.39 2.0000
226.11 7.000 0.00182 2.15 2.0000
1365.59 7.000 0.00058 -3.83 2.0000
495.64 7.000 0.00358 3.54 2.0000
437.30 7.000 0.00011 -0.67 2.0000
565.95 7.000 0.00049 -2.45 2.0000
1573.16 7.000 0.00453 1.44 2.0000
1066.66 7.000 0.00091 -2.41 2.0000
1095.75 7.000 0.00038 0.53 2.0000
492.84 7.000 0.00110 -1.02 2.0000
1602.68 7.000 0.00064 0.14 2.0000
338.22 7.000 0.00099 -3.76 2.0000
1658.78 7.000 0.00314 -3.89 2.0000
895.54 7.000 0.00039 -1.57 2.0000
673.44 7.000 0.00024 -1.98 2.0000
591.85 7.000 0.00110 -2.62 2.0000
1439.35 7.000 0.00255 3.05 2.0000
22.27 7.000 0.00043 -2.04 2.0000
1501.95 7.000 0.00400 -2.25 2.0000
926.76 7.000 0.00254 3.28 2.0000
751.62 7.000 0.00025 -3.21 2.0000
1801.96 7.000 0.00048 1.21 2.0000
1228.93 7.000 0.00074 3.61 2.0000
337.34 7.000 0.00018 0.50 2.0000
356.28 7.000 0.00066 0.09 2.0000
198.76 7.000 0.00101 -3.23 2.0000
1163.74 7.000 0.00025 3.69 2.0000
