# DM      Sigma      Time (s)     Sample    Downfact    Width_int    With_obs    Spec_ind    Scat_tau_ref
 1406.965    7.84    255.59687    3120079    7    0.000600    0.000606    -1.953400    0.000000
 1905.180    5.85    260.84401    3184131    26    0.002200    0.002202    -1.352600    0.000000
 943.605    4.95    265.48527    3240787    14    0.001200    0.001203    2.125900    0.000000
 607.945    5.03    267.32823    3263284    17    0.001400    0.001402    3.295400    0.000000
 1786.848    12.16    272.50704    3326502    3    0.000300    0.000311    0.609300    0.000000
 467.526    4.33    274.93794    3356176    19    0.001600    0.001602    -1.449400    0.000000
 1670.829    9.02    278.97258    3405427    7    0.000600    0.000606    -3.537200    0.000000
 122.413    5.95    281.06351    3430951    15    0.001300    0.001303    0.140800    0.000000
 693.882    8.03    283.27313    3457924    7    0.000600    0.000606    -1.230600    0.000000
 1989.231    8.47    288.69968    3524166    6    0.000500    0.000507    -2.965900    0.000000
 446.096    8.27    296.28752    3616791    7    0.000600    0.000606    1.887500    0.000000
 678.466    2.56    298.05724    3638394    98    0.008100    0.008100    -2.995600    0.000000
 1510.060    7.33    301.08041    3675298    17    0.001400    0.001402    0.586000    0.000000
 771.898    8.58    305.78590    3732738    9    0.000800    0.000804    -3.317500    0.000000
 1006.527    6.05    309.61213    3779445    17    0.001400    0.001402    3.143000    0.000000
 1368.729    4.62    314.10881    3834336    56    0.004600    0.004601    0.571100    0.000000
 1557.595    4.24    322.13164    3932271    24    0.002000    0.002002    -3.412100    0.000000
 696.714    9.74    324.88661    3965901    9    0.000800    0.000804    2.708600    0.000000
 344.297    15.50    326.82492    3989562    2    0.000200    0.000216    -3.882300    0.000000
 1923.610    11.23    331.51033    4046757    1    0.000100    0.000129    2.436500    0.000000
 1850.156    7.85    334.97825    4089090    14    0.001200    0.001203    -2.913100    0.000000
 1621.007    10.28    341.60730    4170011    4    0.000400    0.000408    0.017000    0.000000
 785.774    11.45    345.20769    4213961    3    0.000300    0.000311    -1.705600    0.000000
 1710.516    5.80    349.97445    4272149    26    0.002200    0.002202    0.803500    0.000000
 1017.661    9.95    354.08224    4322293    6    0.000500    0.000507    1.188700    0.000000
 881.393    7.54    359.04831    4382914    12    0.001000    0.001003    -0.908400    0.000000
 747.821    8.83    360.36207    4398951    11    0.000900    0.000904    0.525400    0.000000
 384.402    11.53    363.14857    4432966    3    0.000300    0.000311    0.269400    0.000000
 1300.829    10.71    366.43095    4473034    3    0.000300    0.000311    -1.950000    0.000000
 799.226    4.76    370.63852    4524396    21    0.001800    0.001802    3.351600    0.000000
 379.768    18.03    372.53390    4547533    1    0.000100    0.000129    -0.721600    0.000000
 1290.083    7.29    377.65521    4610049    8    0.000700    0.000705    1.267800    0.000000
 341.352    7.32    379.49121    4632461    7    0.000600    0.000606    -0.270400    0.000000
 1732.459    3.24    382.30286    4666783    34    0.002800    0.002801    2.456900    0.000000
 862.148    10.22    386.44425    4717337    7    0.000600    0.000606    -3.868800    0.000000
 1236.488    7.83    390.45431    4766288    6    0.000500    0.000507    -0.566400    0.000000
 218.863    6.73    393.66746    4805511    17    0.001400    0.001402    3.868100    0.000000
 274.596    2.76    394.46970    4815304    28    0.002300    0.002301    -2.738600    0.000000
 1691.253    10.78    399.12751    4872162    2    0.000200    0.000216    -1.444000    0.000000
 649.644    14.19    402.29093    4910778    2    0.000200    0.000216    0.323300    0.000000
 1685.176    10.13    407.16820    4970315    7    0.000600    0.000606    3.899100    0.000000
 905.378    16.74    410.88532    5015690    1    0.000100    0.000129    1.115500    0.000000
 236.899    7.15    412.02221    5029568    9    0.000800    0.000804    -2.689300    0.000000
 1462.205    5.29    416.45023    5083621    12    0.001000    0.001003    -1.547200    0.000000
 1539.191    6.83    420.22494    5129699    12    0.001000    0.001003    -2.193400    0.000000
 1499.921    4.92    427.40998    5217407    19    0.001600    0.001602    -1.323200    0.000000
 1950.976    6.81    430.91329    5260172    18    0.001500    0.001502    -1.056700    0.000000
 1086.415    8.74    440.02681    5371421    6    0.000500    0.000507    -1.169900    0.000000
 274.415    14.04    445.44631    5437577    3    0.000300    0.000311    -1.343400    0.000000
 925.176    7.77    448.16605    5470777    11    0.000900    0.000904    -3.271000    0.000000
 660.851    2.74    449.30769    5484713    43    0.003600    0.003601    -1.088100    0.000000
 732.696    12.15    453.12754    5531342    3    0.000300    0.000311    1.667700    0.000000
 638.319    8.71    455.39295    5558996    8    0.000700    0.000705    -2.000300    0.000000
 680.901    12.87    458.38639    5595537    3    0.000300    0.000311    0.993700    0.000000
 242.568    15.29    460.14300    5616980    2    0.000200    0.000216    1.255900    0.000000
 212.865    14.45    461.42210    5632594    3    0.000300    0.000311    -0.116000    0.000000
 170.151    12.93    462.33182    5643699    3    0.000300    0.000311    2.077000    0.000000
 828.597    7.96    464.72561    5672920    8    0.000700    0.000705    -3.847100    0.000000
 200.614    5.95    466.49319    5694497    23    0.001900    0.001902    -1.018500    0.000000
 609.726    4.32    467.02199    5700952    83    0.006800    0.006800    3.544500    0.000000
 1122.274    4.35    471.49375    5755539    59    0.004900    0.004901    1.343700    0.000000
 1537.815    9.49    477.96445    5834527    4    0.000400    0.000408    -1.190600    0.000000
 1789.411    3.18    484.40934    5913200    109    0.009000    0.009000    3.036000    0.000000
 1655.105    7.25    488.32102    5960950    14    0.001200    0.001203    1.191900    0.000000
 692.264    4.26    491.71235    6002348    26    0.002200    0.002202    -1.000200    0.000000
 1452.186    11.89    496.57389    6061693    2    0.000200    0.000216    -2.454000    0.000000
 1170.973    14.36    501.34696    6119958    1    0.000100    0.000129    2.485300    0.000000
 844.461    4.71    505.04868    6165145    28    0.002300    0.002301    2.350100    0.000000
 594.146    8.99    509.04367    6213912    13    0.001100    0.001103    -0.521000    0.000000
 98.638    6.63    510.14697    6227380    11    0.000900    0.000904    -0.836400    0.000000
 1897.302    3.54    511.73458    6246760    37    0.003100    0.003101    0.160700    0.000000
 533.612    8.85    517.36044    6315435    9    0.000800    0.000804    -2.110200    0.000000
 1485.985    7.75    522.23214    6374904    7    0.000600    0.000606    -3.755000    0.000000
 151.607    12.49    524.34838    6400737    3    0.000300    0.000311    1.963300    0.000000
 1766.535    5.15    526.64639    6428789    23    0.001900    0.001902    -3.318600    0.000000
 1530.639    8.70    531.89648    6492877    7    0.000600    0.000606    -3.511900    0.000000
 1720.736    9.64    539.48105    6585462    11    0.000900    0.000904    -1.842500    0.000000
 1732.908    8.35    542.34907    6620472    8    0.000700    0.000705    3.117200    0.000000
 100.154    11.92    546.71409    6673756    3    0.000300    0.000311    3.610700    0.000000
 335.649    5.02    547.70254    6685822    35    0.002900    0.002901    2.038000    0.000000
 1954.128    8.86    550.84737    6724211    8    0.000700    0.000705    -3.628600    0.000000
 1893.715    4.00    562.50761    6866548    37    0.003100    0.003101    1.675800    0.000000
 1325.973    2.65    567.71265    6930086    161    0.013200    0.013200    -1.081000    0.000000
 1723.592    5.35    572.14861    6984236    11    0.000900    0.000904    2.418100    0.000000
 369.948    9.38    576.47063    7036995    6    0.000500    0.000507    -0.644100    0.000000
 355.429    17.97    577.78242    7053008    1    0.000100    0.000129    -3.775100    0.000000
 92.567    6.62    578.56827    7062601    11    0.000900    0.000904    0.704000    0.000000
 1339.809    5.37    579.94846    7079449    20    0.001700    0.001702    0.600200    0.000000
 1181.062    6.64    587.49575    7171579    18    0.001500    0.001502    -0.533800    0.000000
 489.864    2.99    590.89486    7213072    91    0.007500    0.007500    1.705200    0.000000
 1748.822    6.58    594.96014    7262697    17    0.001400    0.001402    3.896400    0.000000
 999.672    6.06    602.02557    7348945    17    0.001400    0.001402    -0.883300    0.000000
 1082.677    8.59    607.59966    7416988    7    0.000600    0.000606    2.602600    0.000000
 1580.615    4.38    609.96608    7445875    57    0.004700    0.004701    3.099900    0.000000
 1566.526    10.13    617.51943    7538079    4    0.000400    0.000408    -0.902900    0.000000
 880.120    10.02    621.50058    7586677    4    0.000400    0.000408    1.614200    0.000000
 1227.385    5.67    626.84168    7651876    14    0.001200    0.001203    -1.960000    0.000000
 1311.161    8.49    629.61836    7685771    9    0.000800    0.000804    -0.669600    0.000000
 702.230    11.17    634.54601    7745923    3    0.000300    0.000311    -3.405900    0.000000
 622.755    3.38    638.08938    7789177    23    0.001900    0.001902    2.797100    0.000000
 1482.407    11.83    641.56639    7831621    2    0.000200    0.000216    3.514800    0.000000
 87.667    5.38    643.98615    7861159    20    0.001700    0.001702    3.617800    0.000000
 1201.762    8.83    646.73767    7894747    8    0.000700    0.000705    3.951700    0.000000
 300.721    4.27    650.85407    7944996    20    0.001700    0.001702    1.188500    0.000000
 1023.312    7.85    652.86603    7969556    12    0.001000    0.001003    3.753700    0.000000
 1774.101    8.37    660.63188    8064354    4    0.000400    0.000408    -3.803100    0.000000
 739.997    4.32    663.56330    8100138    30    0.002500    0.002501    2.157400    0.000000
 1507.089    7.64    667.27502    8145447    9    0.000800    0.000804    -1.371800    0.000000
 297.060    7.91    670.87303    8189368    7    0.000600    0.000606    -0.611200    0.000000
 1614.343    9.47    675.05775    8240451    4    0.000400    0.000408    0.331500    0.000000
 358.640    8.77    677.76782    8273533    7    0.000600    0.000606    -0.384600    0.000000
 1660.333    4.84    679.64273    8296420    24    0.002000    0.002002    -1.489000    0.000000
 772.187    4.72    685.29357    8365400    29    0.002400    0.002401    2.513700    0.000000
 1625.448    4.05    688.76083    8407725    24    0.002000    0.002002    3.586100    0.000000
 188.100    7.05    692.66088    8455333    13    0.001100    0.001103    -3.229600    0.000000
 904.584    4.50    693.91884    8470689    12    0.001000    0.001003    -1.254800    0.000000
 207.070    10.02    695.63703    8491663    7    0.000600    0.000606    -1.212200    0.000000
 1130.176    7.02    700.79963    8554683    11    0.000900    0.000904    -0.531600    0.000000
 923.971    6.17    702.30565    8573067    13    0.001100    0.001103    -0.783200    0.000000
 1461.223    3.10    707.46341    8636028    62    0.005100    0.005101    -1.579900    0.000000
 344.855    7.03    710.62659    8674641    9    0.000800    0.000804    3.546100    0.000000
 1368.512    3.33    714.77813    8725319    21    0.001800    0.001802    -1.172300    0.000000
 1942.994    6.33    718.13300    8766272    12    0.001000    0.001003    0.660700    0.000000
 931.646    7.52    729.30927    8902701    11    0.000900    0.000904    -2.850500    0.000000
 1470.213    3.66    731.53249    8929840    74    0.006100    0.006101    2.158600    0.000000
 1854.865    11.19    739.30752    9024750    2    0.000200    0.000216    0.774800    0.000000
 1218.425    5.57    742.82467    9067684    19    0.001600    0.001602    -0.991200    0.000000
 510.801    15.76    747.19912    9121083    2    0.000200    0.000216    -3.984000    0.000000
 145.829    6.70    748.99767    9143038    19    0.001600    0.001602    -2.864500    0.000000
 942.103    8.95    751.79663    9177205    6    0.000500    0.000507    -0.313600    0.000000
 134.636    10.14    752.77140    9189104    7    0.000600    0.000606    -3.014200    0.000000
 1724.611    8.51    754.75288    9213292    7    0.000600    0.000606    1.459500    0.000000
 953.981    2.99    759.41970    9270260    26    0.002200    0.002202    0.850900    0.000000
 684.384    4.89    762.19073    9304086    13    0.001100    0.001103    0.563600    0.000000
 892.746    11.79    766.11404    9351978    3    0.000300    0.000311    2.965800    0.000000
 1656.091    10.53    768.57287    9381993    2    0.000200    0.000216    -1.940200    0.000000
 443.529    7.38    773.21626    9438675    11    0.000900    0.000904    -3.354100    0.000000
 1182.446    2.91    775.75873    9469711    117    0.009600    0.009600    -2.813700    0.000000
 1714.620    3.35    781.19133    9536027    39    0.003200    0.003201    2.988000    0.000000
 1025.887    5.05    788.94760    9630708    12    0.001000    0.001003    2.180600    0.000000
 1575.191    11.66    793.06039    9680913    3    0.000300    0.000311    -2.404200    0.000000
 1821.942    5.78    797.28828    9732523    12    0.001000    0.001003    2.564800    0.000000
 1844.196    7.88    801.93061    9789192    9    0.000800    0.000804    3.571200    0.000000
 445.899    10.88    806.77544    9848333    7    0.000600    0.000606    3.068900    0.000000
 1440.603    7.07    809.79321    9885171    13    0.001100    0.001103    -3.468500    0.000000
 265.615    12.42    813.10474    9925595    3    0.000300    0.000311    -1.217600    0.000000
 1372.322    10.03    818.44265    9990755    8    0.000700    0.000705    -3.041400    0.000000
 1155.130    6.60    821.25095    10025036    9    0.000800    0.000804    -2.983100    0.000000
 1835.656    3.05    826.77834    10092509    39    0.003200    0.003201    2.832900    0.000000
 1594.875    11.14    833.36708    10172938    1    0.000100    0.000129    0.354800    0.000000
 703.396    7.35    836.57499    10212097    9    0.000800    0.000804    -3.747100    0.000000
 879.267    11.92    839.90520    10252749    3    0.000300    0.000311    1.542800    0.000000
 1049.325    6.87    842.94967    10289913    12    0.001000    0.001003    -0.836900    0.000000
 458.789    6.70    846.56259    10334016    9    0.000800    0.000804    0.591500    0.000000
 1332.676    6.75    848.21623    10354202    14    0.001200    0.001203    -2.508600    0.000000
 1885.511    8.22    856.79923    10458975    4    0.000400    0.000408    1.013000    0.000000
 1167.538    10.28    860.64792    10505956    3    0.000300    0.000311    -2.050800    0.000000
 1919.338    9.11    864.66920    10555044    7    0.000600    0.000606    0.259100    0.000000
 839.621    8.27    869.71056    10616584    12    0.001000    0.001003    -3.739500    0.000000
 1972.742    4.66    876.46355    10699018    30    0.002500    0.002501    1.373800    0.000000
 1252.117    10.17    884.98659    10803059    4    0.000400    0.000408    -1.849200    0.000000
 1099.672    6.96    888.94005    10851319    12    0.001000    0.001003    -1.110300    0.000000
 426.834    6.89    894.15500    10914978    32    0.002700    0.002701    3.268200    0.000000
 544.008    11.21    895.56689    10932213    3    0.000300    0.000311    -1.609800    0.000000
 1312.649    7.48    899.87850    10984845    9    0.000800    0.000804    1.255000    0.000000
 1082.786    4.04    903.38951    11027704    43    0.003600    0.003601    0.092200    0.000000
 406.368    20.66    908.69719    11092495    1    0.000100    0.000129    0.217600    0.000000
 1710.849    3.19    911.50631    11126786    67    0.005500    0.005501    3.403600    0.000000
 394.761    10.77    915.38350    11174115    3    0.000300    0.000311    1.176000    0.000000
 1024.300    4.58    917.37383    11198411    41    0.003400    0.003401    -3.675500    0.000000
 1074.365    5.22    925.46957    11297236    17    0.001400    0.001402    -3.233200    0.000000
 1043.853    6.94    928.13042    11329717    17    0.001400    0.001402    0.499000    0.000000
 1233.242    8.79    935.03250    11413971    8    0.000700    0.000705    -2.941800    0.000000
 859.164    4.02    939.05551    11463080    28    0.002300    0.002301    -0.862700    0.000000
 1908.869    6.57    942.12112    11500502    12    0.001000    0.001003    0.731800    0.000000
 1323.689    5.82    948.05467    11572933    11    0.000900    0.000904    -1.666500    0.000000
 1441.038    5.86    953.52873    11639755    21    0.001800    0.001802    -3.990500    0.000000
 1783.982    7.96    958.99951    11706537    9    0.000800    0.000804    -3.997400    0.000000
 536.387    6.94    963.15720    11757290    12    0.001000    0.001003    2.245300    0.000000
 959.848    13.27    966.24034    11794926    3    0.000300    0.000311    -2.402700    0.000000
 1611.092    7.15    969.40941    11833611    9    0.000800    0.000804    1.930200    0.000000
 1337.874    7.57    973.87504    11888123    9    0.000800    0.000804    1.262200    0.000000
 473.902    4.68    977.82383    11936326    29    0.002400    0.002401    2.705100    0.000000
 561.014    5.55    980.99626    11975052    23    0.001900    0.001902    0.234200    0.000000
 491.659    7.65    982.09554    11988471    8    0.000700    0.000705    0.643300    0.000000
 1025.113    13.66    986.51128    12042374    1    0.000100    0.000129    2.794400    0.000000
 733.470    8.00    991.60154    12104511    9    0.000800    0.000804    3.313600    0.000000
 242.192    7.61    992.97346    12121258    13    0.001100    0.001103    -1.762200    0.000000
 1399.104    6.23    995.84492    12156310    14    0.001200    0.001203    -0.993200    0.000000
 422.775    9.40    999.99998    12207031    9    0.000800    0.000804    0.618400    0.000000
 1260.560    4.08    1003.93861    12255110    37    0.003100    0.003101    2.878200    0.000000
 423.631    6.51    1006.03937    12280754    12    0.001000    0.001003    1.253400    0.000000
 1910.036    10.70    1011.20164    12343770    2    0.000200    0.000216    -1.424600    0.000000
 905.582    3.80    1013.61779    12373264    28    0.002300    0.002301    2.524200    0.000000
 1254.770    7.44    1016.17263    12404451    13    0.001100    0.001103    -3.419400    0.000000
 1404.264    8.05    1024.13394    12501635    6    0.000500    0.000507    -3.093100    0.000000
 1816.670    7.39    1028.21986    12551512    13    0.001100    0.001103    -2.091500    0.000000
 1811.372    6.78    1033.89340    12620769    15    0.001300    0.001303    -2.837000    0.000000
 825.588    7.84    1038.43398    12676196    7    0.000600    0.000606    -3.926800    0.000000
 1900.576    7.46    1042.90484    12730772    9    0.000800    0.000804    -1.428000    0.000000
 19.739    6.37    1045.72756    12765229    9    0.000800    0.000804    2.652100    0.000000
 161.491    2.50    1046.57715    12775600    53    0.004400    0.004401    2.759400    0.000000
 572.449    3.83    1049.02713    12805507    53    0.004400    0.004401    -1.101500    0.000000
 1791.125    4.32    1051.70690    12838219    29    0.002400    0.002401    -0.035200    0.000000
 363.113    15.64    1055.56066    12885262    2    0.000200    0.000216    -1.076500    0.000000
 493.744    4.28    1057.01147    12902972    52    0.004300    0.004301    -0.664800    0.000000
 977.052    16.86    1060.88694    12950280    1    0.000100    0.000129    2.198800    0.000000
 1774.406    11.05    1067.94394    13036425    1    0.000100    0.000129    -1.049800    0.000000
 1899.875    5.19    1072.09482    13087095    21    0.001800    0.001802    -0.639900    0.000000
 648.964    13.49    1076.29855    13138410    2    0.000200    0.000216    3.228300    0.000000
 151.267    2.31    1078.27298    13162512    87    0.007200    0.007200    3.816700    0.000000
 1615.689    3.51    1081.46958    13201533    19    0.001600    0.001602    1.693600    0.000000
 712.518    6.34    1085.84051    13254889    23    0.001900    0.001902    0.952700    0.000000
 1848.202    8.60    1090.77266    13315096    6    0.000500    0.000507    2.194100    0.000000
 1016.730    11.53    1094.18316    13356728    2    0.000200    0.000216    -1.955200    0.000000
 990.637    5.33    1099.19011    13417848    20    0.001700    0.001702    1.490200    0.000000
 317.743    12.06    1103.44102    13469739    3    0.000300    0.000311    2.706600    0.000000
 182.900    6.03    1104.47198    13482324    14    0.001200    0.001203    0.956100    0.000000
 1344.632    3.86    1106.37408    13505543    18    0.001500    0.001502    -3.406600    0.000000
 1368.368    2.89    1113.56101    13593274    53    0.004400    0.004401    -1.654500    0.000000
 180.132    7.31    1116.31139    13626848    11    0.000900    0.000904    -2.204100    0.000000
 327.585    3.30    1117.86287    13645787    36    0.003000    0.003001    0.354500    0.000000
 1102.252    5.93    1122.10911    13697621    23    0.001900    0.001902    -3.670800    0.000000
 1538.973    10.80    1126.81681    13755088    1    0.000100    0.000129    -1.937600    0.000000
 1167.938    3.31    1129.78371    13791305    35    0.002900    0.002901    3.652500    0.000000
 1073.897    12.19    1136.56979    13874143    2    0.000200    0.000216    -3.730100    0.000000
 824.867    6.83    1141.84815    13938576    14    0.001200    0.001203    0.598500    0.000000
 860.053    3.31    1144.46746    13970550    111    0.009100    0.009100    -2.864100    0.000000
 1210.911    4.83    1147.07882    14002427    18    0.001500    0.001502    1.688000    0.000000
 1853.542    2.71    1154.57237    14093901    90    0.007400    0.007400    -2.379700    0.000000
 1076.747    7.43    1159.46988    14153685    11    0.000900    0.000904    2.732400    0.000000
 1217.523    4.71    1164.07140    14209856    61    0.005000    0.005001    -0.941800    0.000000
 903.140    7.33    1167.13578    14247263    13    0.001100    0.001103    -2.379100    0.000000
 59.013    14.65    1169.31764    14273897    2    0.000200    0.000216    -1.618700    0.000000
 10.530    5.32    1170.24006    14285157    31    0.002600    0.002601    -1.518900    0.000000
 1618.258    12.33    1174.61869    14338607    1    0.000100    0.000129    3.587700    0.000000
 1563.297    9.61    1179.87074    14402719    6    0.000500    0.000507    0.172700    0.000000
 470.873    5.04    1182.91153    14439838    29    0.002400    0.002401    -3.775100    0.000000
 632.476    9.35    1185.51888    14471666    9    0.000800    0.000804    -3.936100    0.000000
 1481.807    8.23    1188.29892    14505602    8    0.000700    0.000705    1.291700    0.000000
 1830.018    6.87    1194.81393    14585131    23    0.001900    0.001902    3.257000    0.000000
 807.634    5.15    1197.72717    14620693    24    0.002000    0.002002    -0.173400    0.000000
 203.972    3.24    1199.69882    14644761    54    0.004500    0.004501    1.938700    0.000000
 325.096    10.74    1201.06664    14661458    4    0.000400    0.000408    -0.138000    0.000000
 1307.081    5.06    1205.70380    14718064    19    0.001600    0.001602    -1.249700    0.000000
 263.346    7.96    1207.49113    14739882    14    0.001200    0.001203    -2.500500    0.000000
 551.949    6.14    1209.15968    14760250    15    0.001300    0.001303    1.669400    0.000000
 395.291    3.83    1211.83953    14792963    21    0.001800    0.001802    1.217500    0.000000
 979.409    4.52    1214.41362    14824385    20    0.001700    0.001702    1.746000    0.000000
 1265.759    3.93    1218.33611    14872267    59    0.004900    0.004901    1.791800    0.000000
 921.306    8.25    1225.36075    14958017    7    0.000600    0.000606    3.768500    0.000000
 1653.698    8.91    1229.19584    15004832    7    0.000600    0.000606    -3.430800    0.000000
 1745.283    7.51    1233.61731    15058805    14    0.001200    0.001203    -1.325100    0.000000
 1433.238    10.80    1239.65161    15132466    3    0.000300    0.000311    -0.743600    0.000000
 536.945    14.30    1243.12257    15174836    2    0.000200    0.000216    3.756200    0.000000
 1401.639    8.63    1247.63791    15229955    9    0.000800    0.000804    1.923600    0.000000
 523.328    9.64    1251.14638    15272783    7    0.000600    0.000606    3.270000    0.000000
 824.092    5.78    1253.32103    15299329    13    0.001100    0.001103    -2.475900    0.000000
 98.177    5.94    1255.69737    15328337    18    0.001500    0.001502    3.900100    0.000000
 1380.485    5.25    1257.80247    15354034    29    0.002400    0.002401    -3.588900    0.000000
 932.619    3.48    1263.38662    15422200    39    0.003200    0.003201    -3.045100    0.000000
 853.207    14.94    1266.26710    15457362    1    0.000100    0.000129    -2.896000    0.000000
 714.347    3.68    1267.55095    15473034    25    0.002100    0.002102    0.766300    0.000000
 1786.211    2.56    1271.36236    15519560    87    0.007200    0.007200    -0.164900    0.000000
 1086.544    4.00    1278.21103    15603162    34    0.002800    0.002801    1.545400    0.000000
 746.846    4.49    1281.13967    15638912    21    0.001800    0.001802    -2.209400    0.000000
 276.687    3.90    1284.11214    15675197    41    0.003400    0.003401    1.668800    0.000000
 131.088    2.64    1284.83942    15684075    37    0.003100    0.003101    0.904300    0.000000
 292.070    2.95    1286.13892    15699938    30    0.002500    0.002501    -3.230600    0.000000
 1228.758    5.81    1289.40573    15739816    13    0.001100    0.001103    -2.763200    0.000000
 58.677    6.78    1292.73340    15780437    11    0.000900    0.000904    -2.414900    0.000000
 834.366    5.77    1294.41915    15801015    24    0.002000    0.002002    3.091300    0.000000
 167.986    6.11    1296.40088    15825206    30    0.002500    0.002501    3.083600    0.000000
 558.915    4.80    1298.64417    15852590    24    0.002000    0.002002    0.001900    0.000000
 145.053    3.67    1300.51072    15875375    53    0.004400    0.004401    -2.588700    0.000000
 1688.182    3.82    1303.05081    15906382    18    0.001500    0.001502    -2.463400    0.000000
